ID,NEXT,MPHON,FEAT,BASEF,FLAG
Root,Words,,,,
Compd,"! #",-,CMPD,,"D.CPD.Y P.CPD.Y"
,"! 01 valo ujo halko purku harkittu pölkky myöntö",,,,
N01,1,,N,,
A01,1,,"A POS",,
A01,16,,"A CMP",,
1,"SgNom SgPtvA SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIhin PlCase",,,,
N01,"! Compd",,,,
N01,"! Compd",n,,,
,"! 02 palvelu tohelo sitomo osasto intoilu sääntely näyttämö",,,,
N02,2,,N,,
A02,2,,"A POS",,
A02,16,,"A CMP",,
2,"SgNom SgPtvA SgIllVn SgCase PlNom PlGenIen PlGenIden PlPtvIA PlPtvItA PlIllIhin PlCase",,,,
,"! 03 valtio, autio faarao observatorio hymiö",,,,
N03,3,,N,,
A03,3,,"A POS",,
A03,16,,"A CMP",,
3,"SgNom SgPtvTA SgIllVn SgCase PlNom PlGenIden PlPtvItA PlIllIhin PlCase",,,,
,"! 04 laatikko, ummikko älykkö - Huom. laatikkoihin ja laatikoihin",,,,
N04,4,,N,,
A04,4,,"A POS",,
A04,16,,"A CMP",,
4,"SgNom SgPtvA SgIllVn SgCase PlNom PlGenIen PlGenIden PlPtvIA PlPtvItA PlIllIhin PlIllIhinW PlCase",,N,,
,"! 05 risti, aktuelli serbi kavalkadi oksidi paragrafi originaali älli boheemi naivismi kopiointi tongit",,,,
N05,5,,N,,
A05,5,,"A POS",,
A05,16,,"A CMP",,
5,"SgNom SgPtvA SgIllVn SgCase PlNom PlGenEn PlPtvIA PlIllIhin PlCase",,,,
,"! 05C pub riff mahjong",,,,
N05C,SgNom,,N,,
N05C,"SgPtvA SgIllVn SgCase PlGenIen PlPtvIA PlIllIhin PlNom PlCase",{ie},N,,
,"! 06 paperi, brutaali",,,,
N06,6,,N,,
A06,6,,"A POS",,
A06,16,,"A CMP",,
6,"SgNom SgPtvA SgIllVn SgCase PlNom PlGenEn PlGenIden PlPtvIA PlPtvItA PlIllIhin PlCase",,,,
,"! snooker",,,,
N06C,SgNom,,N,,
N06C,"SgPtvA SgIllVn PlNom PlGenEn PlGenIden PlPtvIA PlPtvItA PlIllIhin PlCase",{ie},N,,
,"! lovi",,,,
