ATTRIBUTE,NEXT,FEATS,NAMES
WCL,CP,A,
,NU,N,
,TM,V,
CP,NU,POS,
,NU,CMP,
,NU,SUP,
TM,PE,"TM.PRES VO.ACT",
,CL,"TM.PRES VO.PSS PE.4PE",
,CL,"TM.PRES VO.PSS PE.NEG",
,PE,"TM.PAST VO.ACT",
,CL,"TM.PAST VO.PSS PE.4PE",
,CL,"TM.PAST VO.PSS PE.NEG",
,PE,"TM.COND VO.ACT",
,CL,"TM.COND VO.PSS PE.4PE",
,CL,"TM.COND VO.PSS PE.NEG",
,PE,"TM.POTN VO.ACT",
,CL,"TM.POTN VO.PSS PE.4PE",
,CL,"TM.POTN VO.PSS PE.NEG",
,CL,"TM.INF1 CS.NOM",
,PS,"TM.INF1 CS.TRA",
,PS,"TM.INF2 VO.ACT CS.INE",
,CL,"TM.INF2 VO.ACT CS.MAN",
,CL,"TM.INF2 VO.PSS CS.INE",
,PE,"TM.IMPV VO.ACT",
,CL,"TM.IMPV VO.ACT PE.NEG",
,CL,"TM.IMPV VO.PSS PE.4PE",
,CL,"TM.IMPV VO.PSS PE.NEG",
,CP,"TM.PCP1 VO.ACT",
,CP,"TM.PCP1 VO.PSS",
,CP,"TM.PCP2 VO.ACT",
,CP,"TM.PCP2 VO.PSS",
,CP,TM.PCP3,
,CL,"TM.DVMA VO.PSS CS.INS",
,CL,"TM.DVMA VO.PSS CS.INS",
,NU,"TM.DVMA VO.ACT",
,NU,TM.DVMI,
PE,CL,1SG,
,CL,2SG,
,CL,3SG,
,CL,1PL,
,CL,2PL,
,CL,3PL,
NU,CS,SG,
,CS,PL,
NU,PS,"NU.PL CS.CMT",
CS,PS,NOM,
,PS,GEN,
,PS,PTV,
,PS,TRA,
,PS,ESS,
,PS,INE,
,PS,ELA,
,PS,ILL,
,PS,ADE,
,PS,ABL,
,PS,ALL,
,PS,ABE,
,PS,INS,
PS,CL,SG1,
,CL,SG2,
,CL,SG3,
,CL,PL1,
,CL,PL2,
,CL,PL3,
,CL,,
CL,#,,
