V01,punoa,puno,/v
V02,muistaa,muist{aØaae},/v
V03,huutaa,huu{tds}{aØaae},/v
V03,huutaa,huu{tdst}{aØaae},/v
V04,soutaa,sou{tdst}{aØaae},/v
V05,puoltaa,puol{tlst}{aØaae},/v
V06,murtaa,mur{trst}{aØaae},/v
V07,sortaa,sor{trst}{aØaae},/v
V08,pahentaa,pahen{tnst}{aØaae},/v
V09,kaivaa,kaiv{aoaae},/v
V10,haastaa,haast{aoØaae},/v
V11,paistaa,paist{aoØaae},/v
V12,saartaa,saar{trs}{aoØaae},/v
V13,laskea,lask{eØØeei},/v
V14,tuntea,tun{tns}{eØØeei},/v
V15,potea,po{tdst}{eØØeei},/v
V16,lähteä,lä{kh}{tdst}{eØØeei},/v
V17,sallia,sall{iØ},/v
V18,naida,na{iØ},/v
V19,saada,sa{aØØaa},/v
V20,myydä,my{yØ},/v
V21,juoda,j{uØ}o,/v
V22,viedä,v{iØ}e,/v
V23,käydä,kä{ØvØvØØ}{yØ},/v
V24,nuolaista,nuolais{eØØØØ},/v
V25,tulla,tul{eØØØØ},/v
V26,purra,pur{eØØØØ},/v
V27,mennä,men{eØØØØ},/v
V28,katsella,katsel{eØØØeØØ},/v
V29,arvailla,arvail{eØØØeØØ},/v
V29,arvaella
V30,haravoida,haravo{iØ},/v
V30,haravoita
V31,valita,vali{tnt}{sØ}{eØØØeØØ},/v
V32,juosta,juo{kkkØØ}s{eØØØØ},/v
V33,nähdä,nä{Økhkhh}{eØØØØ},/v
V24,aleta,ale{nt}{eØØØeØØ},/v
V35,salata,sala{ØsnØtt}{aØØØØ},/v
V36,katketa,katke{ØsnØtt}{aØaØØ},/v
V37,selvitä,selvi{ØsnØtt}{äØäØØ},/v
V38,kohota,koho{ØsnØtt}{aØaØØ},/v
V39,haluta,halu{ØsnØtt}{aØaØØ},/v
V40,palata,pala{ØsnØtt}{aØØØØ},/v
V41,kihistä,kihis{eØØØØ},/v
V42,rakentaa,raken{tnst}{aØaae},/v
V42,raketa
V43,taitaa,tai{tds}{aØaae},/v
V44,antautua,antau{td}u,/v
V44,antauta
V45,kaata,kaa{dsnttt}{aØaØØ},/v
