ID,NEXT,MPHON,FEAT,WEIGHT,COMMENT
s0,SgNom,,,,"s0 is the nominative stem"
s1,"SgCase SgPtv SgIll PlNom",,,,"s1 is the singular vowel stem in non-nominative stem"
s2,"PlCase PlGen PlPtv PlIll",,,,"s2 is the plural stem"
s3,"SgPtv PlGenTen PlPtv",,,,"s3 is the consonant stem"
s0123,"s0 s1 s2 s3",,,,
s012,"s0 s1 s2",,,,
s03,"s0 s3",,,,
s12,"s1 s2",,,,
Compar,"s0 s1 s2",m{pm}{iaäØ},,,"Comparative ending"
Superl,s0123,i{nm}{ØpmØ}{aäØ},,,"Superlative ending"
,!,,,,
SgCase,"SgGen SgEss SgTra",,,,
,"SgIne SgEla SgAde",,,,
,"SgAbl SgAll SgAbe",,,,
SgNom,Clit,,"SG NOM",,"singular nominative case"
SgGen,Poss,{nØ},"SG GEN",2,"singular genitive case wit or without a possessive suffix"
SgPtv,"Poss PossV",{Øt}{aä},"SG PTV",3,
SgTra,Clit,ksi,"SG TRA",6,
SgTra,"PossObl PossV",kse,"SG TRA",6,
SgEss,"Poss PossV",{nrs}{aä},"SG ESS",6,
SgIne,"Poss PossV",ss{aä},"SG INE",4,
SgEla,"Poss PossV",st{aä},"SG ELA",4,
SgIll,Poss,{Øh}{V}{nØ},"SG ILL",4,
,Poss,se{Øe}{nØ},"SG ILL",4,
SgAde,"Poss PossV",ll{aä},"SG ADE",5,
SgAbl,"Poss PossV",lt{aä},"SG ABL",7,
SgAll,"Poss PossV",lle,"SG ALL",6,
SgAbe,"Poss PossV",tt{aä},"SG ABE",9,
,!,,,,
PlCase,"PlEss PlTra PlIne PlEla",,,,
,"PlAde PlAbl PlAll",,,,
,"PlAbe PlCmt PlIns",,,,
PlNom,Clit,t,"PL NOM",2,
PlGen,Poss,{ij}{dt}{Øt}e{nØ},"PL GEN",4,
,Poss,{ij}e{nØ},"PL GEN",4,
,Poss,{ii}{nØ},"PL GEN",4,
PlGenTen,Clit,ten,"PL GEN",4,
,PossObl,te,"PL GEN",4,
PlPtv,"Poss PossV",{ij}{Øt}{aä},"PL PTV",5,
PlTra,Clit,{ij}ksi,"PL TRA",8,
,"PossObl PossV",{ij}kse,"PL TRA",8,
PlEss,"Poss PossV",{ij}n{aä},"PL ESS",8,
PlIne,"Poss PossV",{ij}ss{aä},"PL INE",6,
PlEla,"Poss PossV",{ij}st{aä},"PL ELA",6,
PlIll,Poss,{ij}si{iØ}{nØ},"PL ILL",6,
,Poss,{ij}{Øh}{V}{nØ},"PL ILL",6,
PlAde,"Poss PossV",{ij}ll{aä},"PL ADE",7,
