LEXICAL,SURFACE,DESCRIPTION,EXAMPLES
{ao},"a o","stem final a~o","k a i r {ao}:a
k a i r {ao}:o {ij}:j {aä}:a"
{aoe},"a o e","kaivoi - kaivetaan","k a i v {aoe}:a n
k a i v {aoe}:o {i}:i n
k a i v {aoe}:e {dlnrtØ}:t {C}:Ø {aä}:a {V}:a n"
{aoØe},"a o Ø e","haastan - haastoin - haastin - haastetaan","h a a s t {aoØe}:a n
h a a s t {aoØe}:o {i}:i n
h a a s t {aoØe}:Ø {i}:i n
h a a s t {aoØe}:e {dlnrtØ}:t {C}:Ø {aä}:a {V}:a n"
{aä},"a ä","harmonizing a~ä","t a l o s s {aä}:a
r i s t {ie}:i s s {aä}:ä"
{aØ},"a Ø","stem final a~Ø","k o i r {aØ}:a n
k o i r {aØ}:Ø {ij}:i {aä}:a"
{aØe},"a Ø e","stem final a-Ø-e","m u i s t {aØe}:a n
m u i s t {aØe}:e {dlnrtØ}:t {C}:Ø {aä}:a {V}:a n"
{C},Ø,"imaginary consonant","h a k {kØ}:Ø e {C}:Ø"
{dlnrtØ},"d l n r t Ø","1st infinitive , pres passive, 2nd inf act ine","p u n o {dlnrtØ}:Ø {aä}:a
k u o l {eØ}:Ø {dlnrtØ}:l {aä}:a
m e n {eØ}:Ø {dlnrtØ}:n {aä}:ä
p u r {eØ}:Ø {dlnrtØ}:r {aä}:a
j u o s {dlnrtØ}:t {aä}:a
p u n o {dlnrtØ}:t {C}:Ø {aä}:a {V}:a n
s a {VØ}:a {dlnrtØ}:d {C}:Ø {aä}:a {V}:a n
s a n o {dlnrtØ}:t {C}:Ø {aä}:a {V}:a n
n ä h {dlnrtØ}:d {C}:Ø {aä}:ä {V}:ä n
s a l a t {dlnrtØ}:Ø {C}:Ø {aä}:a {V}:a n"
{eiØ},"e i Ø","stem final e","l o v {eiØ}:i
l u m {eiØ}:e t
r i i h {eiØ}:Ø t {aä}:ä"
{eØ},"e Ø","puren - purin","k a n n a k s {eiØ}:Ø {ij}:i s s {aä}:a
p u r {eØ}:Ø {i}:i n"
{ie},"i e","stem final i","r i s t {ie}:i
r i s t {ie}:e {ij}:i s s {aä}:ä"
{i},i,"past tense i",
{ij},"i j","plural i~j","t a l o {ij}:i s s {aä}:a
l o v {eiØ}:Ø {ij}:i s s {aä}:a
l o v {eiØ}:Ø {ij}:i {aä}:a
v a l o {ij}:j {aä}:a"
{iØ},"i Ø","vien - vein, sallin","v {iØ}:i e n
v {iØ}:Ø e {i}:i n
s a l l {iØ}:i n
s a l i {iØ}:Ø i s i n"
